name,company,year,Price,kms_driven,fuel_type
Renault Triber VXI,Renault,2010,37374,179284,Petrol
Ford EcoSport ZXI,Ford,2016,95039,96010,Diesel
Chevrolet Beat VXI,Chevrolet,2010,44307,173336,Diesel
Fiat Punto VXI,Fiat,2009,35384,179082,Diesel
Ford Figo VXI,Ford,2018,205324,43409,Diesel
Hindustan Ambassador ZXI,Hindustan,2011,33052,171909,Diesel
Datsun Redi-GO VXI,Datsun,2015,42163,105430,Petrol
MG Hector VXI,MG,2012,41993,126767,Petrol
Kia Sonet ZXI,Kia,2019,234543,67530,Petrol
Datsun Redi-GO VXI,Datsun,2011,35591,160704,Petrol
Datsun GO+ VXI,Datsun,2023,245929,28184,Diesel
Renault Duster ZXI,Renault,2017,87844,77902,LPG
Hindustan Ambassador ZXI,Hindustan,2015,38607,129969,Diesel
Tata Nexon LXI,Tata,2017,95808,66187,LPG
Jeep Compass ZXI,Jeep,2012,38227,136791,Diesel
Land Defender VXI,Land,2018,448581,50484,Petrol
Mercedes GLA ZXI,Mercedes,2016,355542,77670,Diesel
Force Gurkha LXI,Force,2012,41155,138215,Petrol
Nissan Kicks LXI,Nissan,2013,43318,120894,Diesel
Datsun GO+ VXI,Datsun,2019,152762,39511,Petrol
Ford Endeavour ZXI,Ford,2010,39502,176105,Diesel
Hindustan Ambassador VXI,Hindustan,2013,41218,150891,Diesel
Renault Kwid LXI,Renault,2021,216821,43760,Petrol
Kia Seltos VXI,Kia,2013,45864,143244,Petrol
Fiat Linea VXI,Fiat,2013,42387,131957,LPG
Hindustan Ambassador LXI,Hindustan,2013,38151,142618,LPG
Hyundai Santro LXI,Hyundai,2017,64657,97428,Petrol
Audi A6 VXI,Audi,2011,43350,153637,Diesel
Force Gurkha LXI,Force,2013,44392,141213,Diesel
Fiat Punto VXI,Fiat,2013,32479,127525,Petrol
Fiat Linea VXI,Fiat,2012,38564,126194,LPG
Nissan Micra ZXI,Nissan,2010,43164,179791,Petrol
Mahindra KUV100 ZXI,Mahindra,2023,245159,5000,Petrol
Mahindra Bolero VXI,Mahindra,2014,46663,118476,Diesel
Volvo XC60 ZXI,Volvo,2015,262990,81607,Diesel
Ford Aspire VXI,Ford,2017,115306,115427,Diesel
Fiat Linea VXI,Fiat,2018,103487,63862,Petrol
Ford Aspire VXI,Ford,2018,142202,53824,LPG
Datsun Redi-GO LXI,Datsun,2015,51361,127065,Diesel
Kia Seltos LXI,Kia,2015,74986,96456,Petrol
Ford Aspire LXI,Ford,2011,40150,160410,Petrol
Volkswagen Polo VXI,Volkswagen,2014,78473,119509,Diesel
Nissan Kicks VXI,Nissan,2021,169340,45910,LPG
Land Rover Discovery ZXI,Land,2014,69919,107174,Petrol
Chevrolet Cruze VXI,Chevrolet,2013,43523,133872,Petrol
Mercedes GLC VXI,Mercedes,2009,40751,159519,Petrol
Force Gurkha LXI,Force,2023,277109,26968,Diesel
Ford Figo VXI,Ford,2011,46428,159471,Diesel
Tata Altroz VXI,Tata,2008,41245,181740,Diesel
Force Gurkha LXI,Force,2015,40204,132734,Petrol
Renault Kwid VXI,Renault,2015,68229,103018,Diesel
Skoda Kushaq VXI,Skoda,2018,276332,53043,Diesel
Datsun GO+ VXI,Datsun,2014,52601,106916,Diesel
Hindustan Ambassador VXI,Hindustan,2014,35825,133491,Diesel
Mahindra Bolero LXI,Mahindra,2008,47879,212621,Petrol
Fiat Punto LXI,Fiat,2016,57335,97081,Petrol
Chevrolet Cruze VXI,Chevrolet,2012,37769,170188,LPG
Mahindra Bolero VXI,Mahindra,2023,328057,11120,Diesel
Nissan Kicks ZXI,Nissan,2014,41501,130303,Diesel
Tata Tigor ZXI,Tata,2013,37788,148554,Diesel
Tata Tiago LXI,Tata,2018,158445,61599,Diesel
Ford EcoSport VXI,Ford,2013,31473,144274,Diesel
Chevrolet Cruze VXI,Chevrolet,2010,39037,184132,LPG
Force Gurkha ZXI,Force,2015,87334,103193,Diesel
Mahindra Scorpio VXI,Mahindra,2016,114761,96072,Diesel
Honda Amaze ZXI,Honda,2021,439799,46181,Diesel
Ford Endeavour ZXI,Ford,2015,74965,111324,Diesel
Kia Seltos ZXI,Kia,2022,347992,5000,Petrol
Fiat Linea VXI,Fiat,2016,125254,52804,Diesel
Mahindra KUV100 LXI,Mahindra,2012,39943,128995,Petrol
Mahindra XUV500 VXI,Mahindra,2012,40183,154291,Petrol
Hyundai Grand i10 VXI,Hyundai,2016,114753,97367,Diesel
Tata Tigor ZXI,Tata,2010,37688,175405,Petrol
Renault Triber VXI,Renault,2010,35678,174365,Diesel
MG ZS EV LXI,MG,2019,281195,81062,Diesel
Datsun GO+ LXI,Datsun,2013,38820,130073,Diesel
Ford EcoSport ZXI,Ford,2016,116015,87383,Diesel
Land Rover Discovery VXI,Land,2009,39619,192173,Diesel
Chevrolet Cruze VXI,Chevrolet,2013,42010,122958,Petrol
Force Gurkha LXI,Force,2013,41575,144098,Diesel
Hyundai Creta VXI,Hyundai,2011,43871,153833,Diesel
Datsun Redi-GO VXI,Datsun,2014,38524,124721,Diesel
Chevrolet Spark VXI,Chevrolet,2014,40972,114635,LPG
Renault Kwid VXI,Renault,2013,43034,148530,Petrol
Nissan Terrano ZXI,Nissan,2014,45049,139440,Petrol
Volvo XC60 VXI,Volvo,2019,601939,30290,Diesel
Renault Kwid VXI,Renault,2009,37852,166059,Diesel
Ford Figo VXI,Ford,2015,62285,113459,Diesel
Mahindra Bolero ZXI,Mahindra,2009,43367,170608,Petrol
Chevrolet Cruze VXI,Chevrolet,2012,33593,146670,Diesel
Fiat Linea LXI,Fiat,2015,63221,120710,Diesel
Fiat Punto ZXI,Fiat,2016,108128,90655,Diesel
Mahindra XUV500 ZXI,Mahindra,2011,44978,153096,Diesel
Hyundai i10 LXI,Hyundai,2013,41822,130446,LPG
Chevrolet Beat ZXI,Chevrolet,2018,169057,61854,Diesel
Ford EcoSport LXI,Ford,2019,149588,58450,LPG
MG Astor VXI,MG,2008,39093,215454,Diesel
Datsun GO+ LXI,Datsun,2013,38647,89822,LPG
Tata Tiago VXI,Tata,2012,35455,143372,Petrol
Maruti Dzire LXI,Maruti,2020,197770,58850,Diesel
Hyundai i10 VXI,Hyundai,2018,120774,72489,Petrol
Renault Triber LXI,Renault,2013,44238,132141,Diesel
Force Gurkha LXI,Force,2008,41862,199679,Diesel
Fiat Linea VXI,Fiat,2018,113105,66928,Petrol
Ford Aspire VXI,Ford,2019,188593,63561,Diesel
Hyundai Verna LXI,Hyundai,2023,271491,21858,LPG
Hyundai Creta VXI,Hyundai,2018,134715,68815,Diesel
Datsun GO ZXI,Datsun,2022,209252,32390,Petrol
Nissan Terrano ZXI,Nissan,2013,42304,166023,Petrol
Force Gurkha ZXI,Force,2018,177939,61980,Diesel
Jeep Compass VXI,Jeep,2015,93950,88772,Petrol
Ford EcoSport LXI,Ford,2021,228133,37426,Diesel
Renault Triber ZXI,Renault,2023,281883,31757,Diesel
MG ZS EV VXI,MG,2014,38348,102105,Petrol
Datsun Redi-GO ZXI,Datsun,2008,41967,196723,Diesel
Ford Endeavour VXI,Ford,2017,106932,99509,Diesel
Fiat Linea VXI,Fiat,2017,117099,69003,Diesel
Tata Safari VXI,Tata,2019,160714,45723,Petrol
Hindustan Ambassador VXI,Hindustan,2021,141255,79230,Diesel
Fiat Punto VXI,Fiat,2021,157835,51680,Petrol
Honda WR-V ZXI,Honda,2015,64707,110920,Petrol
Renault Triber VXI,Renault,2010,37861,170461,Petrol
Nissan Terrano LXI,Nissan,2012,38468,155935,Diesel
Mahindra XUV500 VXI,Mahindra,2012,36204,129859,Petrol
Hyundai i20 LXI,Hyundai,2015,72642,120826,Diesel
Hindustan Ambassador ZXI,Hindustan,2014,43506,111213,Petrol
Renault Duster LXI,Renault,2009,35889,181297,Diesel
Ford Endeavour VXI,Ford,2023,300769,12136,Diesel
Hyundai Grand i10 LXI,Hyundai,2017,96484,89035,Petrol
Datsun GO VXI,Datsun,2011,37288,144440,Diesel
Maruti Ertiga LXI,Maruti,2012,45010,144912,Petrol
Force Gurkha LXI,Force,2019,235291,46748,Diesel
Maruti Dzire VXI,Maruti,2009,34967,172461,Diesel
Renault Triber VXI,Renault,2012,46207,138386,Diesel
Toyota Innova LXI,Toyota,2010,39467,169937,Diesel
Maruti Celerio VXI,Maruti,2010,40467,147867,Petrol
MG ZS EV VXI,MG,2012,42011,176852,Diesel
Tata Tigor VXI,Tata,2017,142337,76175,Diesel
Fiat Linea VXI,Fiat,2019,127117,94376,Diesel
Kia Sonet VXI,Kia,2018,273240,49609,Diesel
Mahindra KUV100 LXI,Mahindra,2021,228703,28429,Petrol
Renault Triber VXI,Renault,2021,162878,23910,Petrol
Mahindra Bolero VXI,Mahindra,2014,44188,112119,Petrol
MG Hector VXI,MG,2011,39261,168376,Diesel
Kia Seltos ZXI,Kia,2010,36947,151730,Diesel
Maruti Swift LXI,Maruti,2019,169266,56568,Diesel
Ford Endeavour ZXI,Ford,2012,36018,176781,Diesel
Datsun GO VXI,Datsun,2019,134937,71684,Diesel
Land Rover Discovery LXI,Land,2011,36458,153204,Petrol
Ford Aspire LXI,Ford,2020,181960,33050,Petrol
Renault Triber VXI,Renault,2020,219557,44133,Diesel
Datsun GO+ ZXI,Datsun,2008,32759,180045,LPG
Fiat Linea LXI,Fiat,2014,41981,109621,Petrol
MG ZS EV VXI,MG,2022,337977,35201,Petrol
Chevrolet Beat LXI,Chevrolet,2008,39471,177397,Petrol
Tata Tigor ZXI,Tata,2014,41713,124397,Petrol
Mahindra Scorpio VXI,Mahindra,2021,215987,30744,Petrol
Hindustan Ambassador VXI,Hindustan,2019,111462,42375,Petrol
Nissan Terrano LXI,Nissan,2018,131806,53001,Petrol
Maruti Dzire VXI,Maruti,2015,67338,116099,Diesel
Volvo XC40 VXI,Volvo,2010,41346,164864,Petrol
Mahindra Bolero ZXI,Mahindra,2009,38741,204395,Diesel
Force Gurkha VXI,Force,2018,111428,82803,Petrol
Hyundai i10 LXI,Hyundai,2018,139984,49134,Petrol
Skoda Rapid LXI,Skoda,2021,473564,9898,Diesel
Ford Figo VXI,Ford,2011,39371,134956,LPG
Fiat Punto VXI,Fiat,2019,128325,72356,Petrol
Datsun GO VXI,Datsun,2022,219462,37349,Diesel
BMW 5 Series VXI,BMW,2013,79802,125668,Diesel
Datsun GO VXI,Datsun,2012,37942,148856,Diesel
Force Gurkha VXI,Force,2009,40586,159070,Diesel
Mahindra Thar VXI,Mahindra,2016,83292,75266,Petrol
Maruti Ertiga VXI,Maruti,2021,195734,43802,Petrol
Tata Tigor VXI,Tata,2011,41657,158866,Diesel
Chevrolet Cruze VXI,Chevrolet,2013,40049,120951,LPG
Fiat Linea ZXI,Fiat,2012,32158,149763,LPG
Ford Aspire VXI,Ford,2017,101864,105607,Diesel
Datsun GO VXI,Datsun,2014,40943,121137,Diesel
Chevrolet Spark ZXI,Chevrolet,2013,46540,116275,Petrol
Ford Figo LXI,Ford,2009,42124,175773,Diesel
Renault Duster VXI,Renault,2014,40624,119610,Petrol
Maruti Ertiga VXI,Maruti,2016,104725,87783,Diesel
Nissan Terrano VXI,Nissan,2012,40987,121874,Petrol
Tata Nexon ZXI,Tata,2019,180326,50332,Diesel
Chevrolet Spark VXI,Chevrolet,2019,124929,53967,LPG
Honda Jazz VXI,Honda,2011,41607,120211,Petrol
Land Defender VXI,Land,2017,246559,91487,LPG
Ford EcoSport ZXI,Ford,2014,43265,117204,Petrol
Ford Aspire VXI,Ford,2010,39522,162600,Diesel
Renault Duster VXI,Renault,2015,93506,69321,Diesel
Toyota Fortuner VXI,Toyota,2018,287745,59477,Diesel
Kia Carnival LXI,Kia,2019,292093,75207,Diesel
Renault Duster LXI,Renault,2013,35543,124034,Diesel
Hyundai Santro VXI,Hyundai,2014,34937,144620,Petrol
Datsun Redi-GO LXI,Datsun,2019,168354,67596,Diesel
Hyundai Venue VXI,Hyundai,2018,103432,65303,Petrol
Renault Triber VXI,Renault,2014,38966,123233,Petrol
Audi Q7 VXI,Audi,2016,268665,103300,Diesel
Nissan Kicks ZXI,Nissan,2014,51895,110433,Diesel
Fiat Linea VXI,Fiat,2014,41037,123847,Petrol
Volkswagen Ameo VXI,Volkswagen,2020,329770,66535,Diesel
Land Defender VXI,Land,2018,650768,56466,Diesel
Maruti Celerio VXI,Maruti,2015,70344,105199,Diesel
Volvo XC40 VXI,Volvo,2008,35555,158450,Petrol
Volkswagen Tiguan ZXI,Volkswagen,2019,258682,60634,Petrol
Chevrolet Spark VXI,Chevrolet,2012,37463,159260,Petrol
Ford Aspire VXI,Ford,2017,101320,110018,Diesel
Kia Carnival VXI,Kia,2010,41534,183733,Petrol
Renault Triber VXI,Renault,2008,41454,190572,Petrol
Fiat Linea LXI,Fiat,2016,50798,103266,Petrol
Force Gurkha VXI,Force,2014,45578,118353,LPG
MG ZS EV VXI,MG,2013,39013,151759,Petrol
Fiat Linea VXI,Fiat,2019,155968,58636,Diesel
Toyota Corolla Altis VXI,Toyota,2014,40917,103374,LPG
Datsun Redi-GO LXI,Datsun,2016,45753,114558,Petrol
Hyundai Venue LXI,Hyundai,2019,188909,75117,Diesel
Hindustan Ambassador VXI,Hindustan,2010,42443,161982,Petrol
Maruti Celerio LXI,Maruti,2015,53318,85603,Petrol
Hyundai i20 VXI,Hyundai,2008,42325,176464,LPG
Tata Altroz ZXI,Tata,2013,41691,150871,Diesel
Hindustan Ambassador VXI,Hindustan,2014,44298,101871,Petrol
Force Gurkha ZXI,Force,2022,295115,34669,Diesel
Chevrolet Spark VXI,Chevrolet,2014,37152,122319,Petrol
Tata Tiago VXI,Tata,2016,101301,98489,Diesel
Nissan Micra VXI,Nissan,2018,112588,76250,LPG
Chevrolet Beat ZXI,Chevrolet,2011,40496,173480,Petrol
Force Gurkha LXI,Force,2023,270659,35516,LPG
Ford Aspire VXI,Ford,2008,39926,190817,LPG
Skoda Superb ZXI,Skoda,2013,68053,112514,Diesel
Honda WR-V VXI,Honda,2015,124487,109890,Diesel
Nissan Terrano VXI,Nissan,2021,209178,5000,LPG
Datsun GO ZXI,Datsun,2020,182119,42601,Diesel
Ford Aspire VXI,Ford,2017,72274,108790,Petrol
Mahindra Bolero VXI,Mahindra,2011,37325,184189,Petrol
Datsun GO VXI,Datsun,2014,40049,117064,Petrol
Maruti Wagon R LXI,Maruti,2019,153775,51168,Petrol
Fiat Punto LXI,Fiat,2008,36425,197304,Diesel
Hyundai Santro VXI,Hyundai,2015,66211,109795,Diesel
Toyota Corolla Altis ZXI,Toyota,2009,43085,148307,Petrol
Volkswagen Ameo VXI,Volkswagen,2019,229455,61578,Petrol
Chevrolet Spark VXI,Chevrolet,2019,157037,56388,Diesel
Ford Aspire ZXI,Ford,2009,35150,175775,Petrol
Nissan Terrano ZXI,Nissan,2013,39169,173005,Diesel
Land Rover Discovery LXI,Land,2012,46027,153270,LPG
Ford Endeavour VXI,Ford,2017,142824,80498,Diesel
Nissan Terrano LXI,Nissan,2020,163982,49989,Petrol
Toyota Fortuner VXI,Toyota,2017,282022,62275,Diesel
Maruti Alto ZXI,Maruti,2009,41791,172485,LPG
Renault Kwid VXI,Renault,2019,133799,66335,LPG
Chevrolet Spark ZXI,Chevrolet,2012,38819,142131,Petrol
Skoda Kushaq ZXI,Skoda,2016,123369,74936,Petrol
Renault Triber VXI,Renault,2019,117795,66788,LPG
Fiat Linea ZXI,Fiat,2020,178011,38783,Petrol
Force Gurkha ZXI,Force,2023,281743,30051,LPG
Fiat Punto ZXI,Fiat,2012,36554,138642,Diesel
Volkswagen Tiguan LXI,Volkswagen,2016,95398,104753,Petrol
Hindustan Ambassador VXI,Hindustan,2022,169416,36078,LPG
Chevrolet Beat VXI,Chevrolet,2017,122473,71654,Diesel
Chevrolet Spark VXI,Chevrolet,2008,37764,182136,Petrol
Ford Figo VXI,Ford,2017,131933,79768,Diesel
MG ZS EV VXI,MG,2015,44245,116739,Petrol
Nissan Kicks VXI,Nissan,2015,58609,108505,Diesel
Tata Tiago VXI,Tata,2012,41284,156724,LPG
Ford EcoSport LXI,Ford,2010,41025,154275,Petrol
MG Astor ZXI,MG,2013,41835,141318,Petrol
Ford Endeavour VXI,Ford,2010,42730,148334,Petrol
Ford Aspire LXI,Ford,2013,40894,158736,Diesel
Mahindra Scorpio VXI,Mahindra,2011,36921,136698,LPG
Mahindra KUV100 LXI,Mahindra,2016,117790,98102,Diesel
Datsun GO ZXI,Datsun,2023,216878,33023,Diesel
MG Hector VXI,MG,2009,41523,183958,Diesel
Renault Duster ZXI,Renault,2012,31420,123025,Petrol
Tata Safari VXI,Tata,2013,38242,145405,LPG
Datsun GO+ VXI,Datsun,2017,107064,76444,Diesel
Hindustan Ambassador VXI,Hindustan,2011,41491,152127,LPG
Force Gurkha VXI,Force,2012,43999,120560,LPG
Tata Tiago LXI,Tata,2015,58560,113000,Diesel
Mercedes GLC VXI,Mercedes,2023,881286,5000,Petrol
Force Gurkha LXI,Force,2018,204762,63437,Diesel
Hyundai Verna VXI,Hyundai,2019,130167,59172,LPG
Hyundai Venue VXI,Hyundai,2022,246245,36760,Petrol
Volkswagen Tiguan LXI,Volkswagen,2019,253240,78306,Diesel
Honda WR-V VXI,Honda,2014,43418,97827,Petrol
Maruti Celerio ZXI,Maruti,2010,37358,174470,LPG
Maruti Swift ZXI,Maruti,2011,43749,171787,Diesel
Mahindra Thar VXI,Mahindra,2008,41977,200844,Petrol
Nissan Terrano VXI,Nissan,2016,63760,84169,Petrol
Tata Altroz VXI,Tata,2009,39006,172653,LPG
Force Gurkha ZXI,Force,2017,97554,95877,Petrol
Ford Endeavour VXI,Ford,2014,67392,90700,Diesel
Hyundai Santro VXI,Hyundai,2017,131293,85074,Diesel
Tata Tigor LXI,Tata,2015,71691,113984,Diesel
Fiat Punto LXI,Fiat,2014,38095,135195,Diesel
Chevrolet Beat VXI,Chevrolet,2023,224835,5000,Petrol
Chevrolet Beat VXI,Chevrolet,2014,38437,125169,Diesel
Hyundai i10 ZXI,Hyundai,2008,42916,214868,Diesel
Jeep Compass LXI,Jeep,2019,315150,68404,Petrol
Hyundai i20 VXI,Hyundai,2009,38741,171458,Diesel
Jaguar XE VXI,Jaguar,2023,1077965,6881,Diesel
Ford EcoSport LXI,Ford,2015,32633,99746,Petrol
Force Gurkha VXI,Force,2015,36632,133704,LPG
Tata Safari LXI,Tata,2017,113031,99649,Diesel
Mahindra Scorpio ZXI,Mahindra,2017,92163,78627,Petrol
Honda WR-V ZXI,Honda,2010,33628,156914,Diesel
Renault Duster VXI,Renault,2013,36018,153319,Diesel
MG ZS EV ZXI,MG,2013,42456,143009,Petrol
Datsun GO LXI,Datsun,2018,86949,92523,LPG
Hyundai Santro VXI,Hyundai,2018,193139,58251,Diesel
Hindustan Ambassador ZXI,Hindustan,2019,113602,38897,Petrol
Jaguar F-Pace ZXI,Jaguar,2009,43650,163257,Petrol
Hyundai Grand i10 ZXI,Hyundai,2011,37668,158672,LPG
Ford Figo VXI,Ford,2008,39732,195633,Diesel
Force Gurkha ZXI,Force,2019,211729,69120,Diesel
Force Gurkha ZXI,Force,2011,35348,157710,LPG
Nissan Kicks VXI,Nissan,2014,39849,105064,LPG
Renault Duster VXI,Renault,2016,61696,94464,Petrol
Volkswagen Tiguan LXI,Volkswagen,2017,234206,72400,Diesel
Mahindra XUV500 VXI,Mahindra,2016,84137,68466,Petrol
Force Gurkha ZXI,Force,2019,209253,51392,Diesel
Hyundai Santro ZXI,Hyundai,2018,121194,69010,LPG
Skoda Octavia LXI,Skoda,2010,42630,174331,Diesel
Maruti Alto VXI,Maruti,2016,109052,94801,Diesel
Fiat Punto VXI,Fiat,2017,84313,81163,LPG
Mahindra Scorpio VXI,Mahindra,2010,39911,155338,Diesel
Maruti Celerio LXI,Maruti,2009,36555,195455,Petrol
Renault Kwid VXI,Renault,2011,45098,153595,Diesel
Hindustan Ambassador VXI,Hindustan,2014,45952,121501,Diesel
Fiat Linea LXI,Fiat,2015,57203,114703,Diesel
Nissan Terrano VXI,Nissan,2015,66006,115403,Diesel
Fiat Linea LXI,Fiat,2012,42743,147556,Petrol
Maruti Dzire VXI,Maruti,2012,39063,160855,Petrol
Toyota Innova ZXI,Toyota,2018,168099,89841,Petrol
Mahindra Bolero LXI,Mahindra,2013,45699,104077,Diesel
Ford EcoSport ZXI,Ford,2010,34884,180128,Diesel
Hindustan Ambassador ZXI,Hindustan,2022,185754,5000,Petrol
Ford Figo VXI,Ford,2018,166019,60859,Diesel
Force Gurkha LXI,Force,2008,33812,172106,Petrol
Fiat Punto VXI,Fiat,2009,43547,179722,Diesel
Force Gurkha VXI,Force,2019,275117,34851,Diesel
Force Gurkha LXI,Force,2010,47334,175767,LPG
Nissan Kicks ZXI,Nissan,2022,267125,8772,Diesel
Chevrolet Beat VXI,Chevrolet,2008,43920,179838,Diesel
Mahindra XUV500 VXI,Mahindra,2009,35352,161849,Petrol
Audi A6 VXI,Audi,2013,41749,140720,Petrol
Fiat Linea VXI,Fiat,2019,120988,65624,Petrol
Chevrolet Cruze VXI,Chevrolet,2018,156832,61897,Diesel
Hindustan Ambassador ZXI,Hindustan,2015,34623,141802,Diesel
Maruti Wagon R LXI,Maruti,2009,41830,192176,Petrol
BMW X3 VXI,BMW,2022,818307,41441,Diesel
Hindustan Ambassador ZXI,Hindustan,2015,61882,68354,Diesel
Chevrolet Beat ZXI,Chevrolet,2016,40245,106868,LPG
Force Gurkha VXI,Force,2008,40124,200003,Diesel
Hindustan Ambassador VXI,Hindustan,2011,37240,154993,Petrol
Renault Kwid ZXI,Renault,2023,192314,48400,Petrol
Audi Q7 VXI,Audi,2018,344883,68206,Petrol
Renault Duster ZXI,Renault,2019,175357,68856,Diesel
Volkswagen Polo LXI,Volkswagen,2016,128137,95531,Diesel
Force Gurkha VXI,Force,2010,39590,152043,Petrol
Hyundai Verna VXI,Hyundai,2019,187008,68037,Diesel
MG Astor LXI,MG,2019,190627,73624,LPG
Mahindra XUV500 VXI,Mahindra,2019,215876,54068,Diesel
MG Hector VXI,MG,2009,35184,145352,Petrol
Mahindra XUV500 ZXI,Mahindra,2017,79347,106383,Petrol
Tata Safari VXI,Tata,2017,81014,87505,LPG
Mahindra Scorpio VXI,Mahindra,2012,32653,123525,Diesel
Hindustan Ambassador ZXI,Hindustan,2010,34328,175375,Diesel
Honda Jazz LXI,Honda,2019,297041,70165,Diesel
Datsun GO+ VXI,Datsun,2020,180796,60659,Diesel
Datsun GO+ VXI,Datsun,2010,34135,153656,Diesel
Ford Aspire LXI,Ford,2018,131155,79737,Diesel
Nissan Micra ZXI,Nissan,2015,35444,93770,LPG
Ford EcoSport ZXI,Ford,2022,342775,10549,Diesel
Fiat Linea ZXI,Fiat,2012,39637,126130,Diesel
Honda Accord VXI,Honda,2013,39352,132317,LPG
MG Hector VXI,MG,2018,143682,81013,LPG
Datsun GO+ VXI,Datsun,2014,41409,121466,Diesel
Force Gurkha ZXI,Force,2012,43613,152065,Diesel
Force Gurkha LXI,Force,2011,38548,158162,Petrol
BMW 3 Series VXI,BMW,2009,38089,186502,Petrol
Nissan Terrano VXI,Nissan,2023,245082,16604,LPG
Volkswagen Ameo ZXI,Volkswagen,2019,190688,76505,LPG
Renault Kwid LXI,Renault,2017,104805,105138,Diesel
Hindustan Ambassador VXI,Hindustan,2016,40838,110745,LPG
Maruti Swift VXI,Maruti,2017,133909,72812,Diesel
Force Gurkha LXI,Force,2018,174932,84258,Diesel
Ford Aspire ZXI,Ford,2021,154351,61913,LPG
Volkswagen Tiguan VXI,Volkswagen,2018,205349,83184,Diesel
Fiat Punto VXI,Fiat,2013,38358,128073,Diesel
Kia Sonet ZXI,Kia,2021,350941,37834,Petrol
Tata Tiago ZXI,Tata,2008,36937,196758,Petrol
Nissan Micra VXI,Nissan,2017,99148,89586,Diesel
Force Gurkha VXI,Force,2022,201910,35652,Petrol
Hindustan Ambassador VXI,Hindustan,2013,41564,135743,Diesel
Force Gurkha VXI,Force,2011,38363,155249,Diesel
Tata Harrier ZXI,Tata,2019,211004,60803,Diesel
Hyundai i10 ZXI,Hyundai,2010,38036,160264,Diesel
Datsun GO VXI,Datsun,2018,95582,101623,Diesel
Hindustan Ambassador ZXI,Hindustan,2008,41589,203236,Petrol
Mahindra Thar VXI,Mahindra,2009,39285,184235,Diesel
Mahindra KUV100 VXI,Mahindra,2010,39755,169590,Diesel
Force Gurkha VXI,Force,2015,36730,123968,LPG
Chevrolet Spark ZXI,Chevrolet,2012,39165,129496,Petrol
Ford Figo LXI,Ford,2017,84526,84392,Petrol
Force Gurkha LXI,Force,2008,33133,188747,Diesel
Nissan Terrano LXI,Nissan,2022,242451,16724,LPG
Tata Harrier VXI,Tata,2023,235396,5000,Diesel
Tata Tiago VXI,Tata,2009,35749,175965,Diesel
Skoda Octavia VXI,Skoda,2013,43018,141560,Diesel
Honda City ZXI,Honda,2013,54039,119507,Diesel
Force Gurkha VXI,Force,2022,247231,22214,Petrol
Volkswagen Vento ZXI,Volkswagen,2023,442935,16910,Diesel
Mahindra XUV500 VXI,Mahindra,2021,248397,42648,Diesel
Skoda Superb VXI,Skoda,2014,67886,129449,Diesel
Hyundai Verna ZXI,Hyundai,2011,42296,186322,Diesel
Maruti Ignis LXI,Maruti,2012,42325,126995,LPG
Force Gurkha LXI,Force,2009,39880,163332,LPG
Chevrolet Beat VXI,Chevrolet,2018,177899,47544,Diesel
Renault Triber VXI,Renault,2008,35789,207653,Diesel
Renault Kwid VXI,Renault,2012,38840,161567,LPG
Ford EcoSport LXI,Ford,2012,42413,142409,LPG
Honda Accord VXI,Honda,2012,40449,109091,Diesel
Mahindra Thar LXI,Mahindra,2013,41086,137156,Petrol
Hyundai i10 ZXI,Hyundai,2018,159912,69733,Diesel
MG ZS EV ZXI,MG,2018,156557,81065,Petrol
Toyota Fortuner VXI,Toyota,2019,284701,42252,Petrol
Hyundai Creta ZXI,Hyundai,2018,121327,49812,Petrol
Hyundai Grand i10 VXI,Hyundai,2014,43464,114842,Petrol
Fiat Punto VXI,Fiat,2014,35619,123723,Diesel
Hindustan Ambassador LXI,Hindustan,2023,223415,5000,Petrol
Toyota Etios ZXI,Toyota,2010,37918,173692,Diesel
Jeep Compass ZXI,Jeep,2014,78983,111407,Diesel
Maruti Ertiga VXI,Maruti,2021,212665,59335,Diesel
Maruti Ertiga ZXI,Maruti,2012,39007,150892,Petrol
Nissan Micra VXI,Nissan,2011,38090,134245,LPG
Datsun Redi-GO LXI,Datsun,2008,35860,213549,LPG
Chevrolet Cruze VXI,Chevrolet,2017,108180,62283,Petrol
Volkswagen Tiguan VXI,Volkswagen,2015,100625,106911,Diesel
MG ZS EV VXI,MG,2009,44180,181728,Diesel
Volvo XC60 VXI,Volvo,2009,40464,223180,Diesel
Skoda Superb VXI,Skoda,2015,67522,97602,Petrol
Toyota Fortuner VXI,Toyota,2015,94231,125771,Diesel
MG ZS EV LXI,MG,2010,33237,154887,Petrol
Hindustan Ambassador VXI,Hindustan,2018,88692,68592,LPG
Ford EcoSport VXI,Ford,2016,81981,112116,Diesel
Audi A6 LXI,Audi,2009,39481,195602,Petrol
Force Gurkha ZXI,Force,2008,40667,207708,Petrol
Renault Triber VXI,Renault,2009,41665,188623,Diesel
Fiat Linea VXI,Fiat,2013,35060,135359,Petrol
Nissan Kicks LXI,Nissan,2022,259385,12732,Petrol
Datsun GO VXI,Datsun,2016,58089,83757,Petrol
Chevrolet Spark LXI,Chevrolet,2018,116004,74149,Petrol
Mahindra Thar VXI,Mahindra,2023,282023,29502,Petrol
Mahindra Scorpio VXI,Mahindra,2012,39242,139363,Diesel
Force Gurkha VXI,Force,2018,163681,51251,Petrol
Maruti Swift ZXI,Maruti,2017,116831,72294,Petrol
